document,stage,reproducible_action,actual_observation,stage_result,evidence
PPT,创建或导入,对 packages/file-loaders/src/loaders/pptx/fixtures/test.pptx 执行 PptxLoader 测试,6 个 PPTX loader 测试通过且 fixture 被解析为多页；未发现空白创建入口,PARTIAL,"vitest: 6 passed; index.test.ts:26-32"
PPT,编辑,在 DocumentPreview 源码检索 contentEditable/onChange 并检查 PPT pane,计数均为 0；唯一主路径为 PptxViewer.open(blob container),FAIL,"probe log: contentEditable=0 onChange=0; DocumentPreview.tsx:210"
PPT,保存,检索 saving/saved/writeFile/exportPptx,四项计数均为 0；不存在编辑结果序列化,FAIL,"probe log: saving=0 saved=0 writeFile=0 exportPptx=0"
PPT,再次打开,重新执行同一 fixture loader 测试,原始 PPTX 可再次读取；由于无编辑/保存不能验证编辑结果重开,PARTIAL,"vitest PPTX 6 passed; no save path"
PPT,导出或下载,检查 fallback 下载实现,实际代码把输入 blob 直接绑定到 anchor.download；没有 PPTX 导出器,PARTIAL,"DocumentPreview.tsx:442-447; exportPptx=0"
Excel,创建或导入,对 packages/file-loaders/src/loaders/excel/fixtures/test.xlsx 执行 ExcelLoader 测试,4 个 Excel loader 测试通过；未发现空白 workbook 创建入口,PARTIAL,"vitest: 4 passed; index.test.ts:22-28"
Excel,编辑,检查 XlsxPane 渲染和编辑事件,workbook 被映射成只读 td；contentEditable/onChange 均为 0,FAIL,"DocumentPreview.tsx:327-383; probe log"
Excel,保存,检索 writeFile/exportXlsx/saving/saved,全部为 0；源码只有 workbook.xlsx.load,FAIL,"probe log; DocumentPreview.tsx:327"
Excel,再次打开,重新执行 workbook fixture loader 测试,原 workbook 可再次读取；公式预览只取缓存 result 且没有编辑状态可恢复,PARTIAL,"vitest Excel 4 passed; DocumentPreview.tsx:307"
Excel,导出或下载,检查 fallback 下载实现,只能下载输入 blob；没有 XLSX serializer/export,PARTIAL,"DocumentPreview.tsx:442-447; exportXlsx=0"
Word,创建或导入,对 packages/file-loaders/src/loaders/docx/fixtures/test.docx 执行 DocxLoader 测试,3 个 DOCX loader 测试通过；未发现空白创建入口,PARTIAL,"vitest: 3 passed; index.test.ts:20-24"
Word,编辑,检查 DocxPane 与 loader,预览仅 renderAsync；上下文读取为 mammoth.extractRawText；contentEditable/onChange 为 0,FAIL,"DocumentPreview.tsx:254-257; docx/index.ts:23; probe log"
Word,保存,检索 writeFile/exportDocx/saving/saved,全部为 0；没有 DOCX 回写,FAIL,"probe log"
Word,再次打开,重新执行 fixture loader 测试,原 DOCX 可再次读取；不存在编辑结果可恢复,PARTIAL,"vitest DOCX 3 passed; no save path"
Word,导出或下载,检查 fallback 下载实现,只能下载原 blob 或用默认应用打开；没有 DOCX export,PARTIAL,"DocumentPreview.tsx:442-475; exportDocx=0"
